producto_id,nombre,stock_v,costo_v,stock_n,costo_n,stock_apertura,costo_apertura,fuente_costo
1,ALTA,308.00,70.12,308.0000,70.4298,308.0000,70.1200,V_AUTORITATIVO
2,CRECIMIENTO POLLO ALTA,,,0.0000,65.4225,0.0000,65.4225,N_CERO
3,CRECIMIENTO CERDOS I,15.00,91.66,15.0000,91.9617,15.0000,91.6600,V_AUTORITATIVO
4,CRECIMIENTO CERDOS II,173.00,87.71,173.0000,88.1332,173.0000,87.7100,V_AUTORITATIVO
5,CRECIMIENTO AVES,12.00,87.70,12.0000,87.9489,12.0000,87.7000,V_AUTORITATIVO
6,CRECIMIENTO TERNERO,31.00,65.45,31.0000,65.7758,31.0000,65.4500,V_AUTORITATIVO
8,ENGORDE POLLO,,,0.0000,0.0000,0.0000,0.0000,N_CERO
9,ENGORDE CERDOS,70.00,84.92,70.0000,85.2424,70.0000,84.9200,V_AUTORITATIVO
11,ENGORDE AVES,36.00,84.38,36.0000,84.6854,36.0000,84.3800,V_AUTORITATIVO
12,ESTANDAR,65.00,58.84,65.0000,59.0479,65.0000,58.8400,V_AUTORITATIVO
13,INICIO POLLO,,,0.0000,68.5334,0.0000,68.5334,N_CERO
14,INICIO CERDO,7.00,110.15,7.0000,110.1490,7.0000,110.1490,N_4D_REDONDEA_V
15,MANTENIMIENTO CERDOS,21.00,70.44,21.0000,70.7433,21.0000,70.4400,V_AUTORITATIVO
16,MARRANA GESTANTE,11.00,74.11,11.0000,74.4726,11.0000,74.1100,V_AUTORITATIVO
17,MARRANA LACTANTE,12.00,81.84,12.0000,82.1595,12.0000,81.8400,V_AUTORITATIVO
18,MEDIA,256.00,65.05,256.0000,65.2441,256.0000,65.0500,V_AUTORITATIVO
19,PREPARTO,20.00,73.06,20.0000,73.6282,20.0000,73.0600,V_AUTORITATIVO
20,SUPER ALTA,10.00,79.23,10.0000,79.2219,10.0000,79.2300,V_AUTORITATIVO
21,POSTURA,1.00,84.18,1.0000,85.6700,1.0000,84.1800,V_AUTORITATIVO
22,MENESTRA,1812.12,41.69,1812.1200,41.6704,1812.1200,41.6900,V_AUTORITATIVO
23,MAICILLO,1430.60,46.39,1430.0000,46.3876,1430.6000,46.3876,N_4D_REDONDEA_V
24,MAIZ,2119.03,76.00,2119.2100,76.0459,2119.0300,76.0000,V_AUTORITATIVO
25,AFRECHO 40KG,1232.70,44.26,1232.5000,44.2637,1232.7000,44.2637,N_4D_REDONDEA_V
26,AFRECHO 30KG,1092.50,32.67,1092.4400,32.6671,1092.5000,32.6671,N_4D_REDONDEA_V
27,AFRECHO 50KG,0.20,65.00,0.2000,65.0000,0.2000,65.0000,N_4D_REDONDEA_V
28,ARROCILLO,213.60,44.35,213.6000,44.3748,213.6000,44.3500,V_AUTORITATIVO
29,CALCIO,84.00,7.00,84.0200,6.9977,84.0000,6.9977,N_4D_REDONDEA_V
32,MELAZA,62571.65,0.76,62571.6500,0.7591,62571.6500,0.7591,N_4D_REDONDEA_V
33,PALMISTE,318.63,43.00,318.6300,43.0000,318.6300,43.0000,N_4D_REDONDEA_V
34,PANCAMEL,128.00,21.60,128.0000,21.6000,128.0000,21.6000,N_4D_REDONDEA_V
37,POLVILLO,306.63,23.45,306.7600,24.5899,306.6300,23.4500,V_AUTORITATIVO
39,SAL,163.07,13.49,163.1000,13.4965,163.0700,13.4900,V_AUTORITATIVO
40,TORTA INTEGRAL,0.22,104.02,0.2200,103.9996,0.2200,104.0200,V_AUTORITATIVO
41,TORTA SOYA,815.35,97.46,815.3800,97.4637,815.3500,97.4637,N_4D_REDONDEA_V
42,UREA,47.99,136.23,47.9900,136.1488,47.9900,136.2300,V_AUTORITATIVO
43,BICARBONATO,245.90,64.53,245.9100,64.5922,245.9000,64.5300,V_AUTORITATIVO
44,ACEITE,,,0.0000,128.3300,0.0000,128.3300,N_CERO
45,BACITRACINA,2.40,231.81,2.4200,231.7557,2.4000,231.8100,V_AUTORITATIVO
46,BATIAROMA,40.40,40.09,40.4000,40.0850,40.4000,40.0850,N_4D_REDONDEA_V
47,BATTFOS,91.95,76.84,91.9200,76.8643,91.9500,76.8400,V_AUTORITATIVO
48,COLINA,12.01,72.05,12.0100,72.0139,12.0100,72.0500,V_AUTORITATIVO
49,COMPLEJO B,4.00,18.00,4.0000,18.0000,4.0000,18.0000,N_4D_REDONDEA_V
50,CORPIDOL,1.20,547.15,1.1900,557.4300,1.2000,547.1500,V_AUTORITATIVO
51,DELAC,8.48,204.76,8.4800,204.7151,8.4800,204.7600,V_AUTORITATIVO
52,FOSFATO,239.35,96.66,239.3800,96.6776,239.3500,96.6600,V_AUTORITATIVO
53,FUNGIKOR,5.20,234.60,5.2200,234.6000,5.2000,234.6000,N_4D_REDONDEA_V
56,LISINA,11.78,162.23,11.8000,162.2746,11.7800,162.2300,V_AUTORITATIVO
57,METHIONINA,27.40,374.68,27.4200,374.7259,27.4000,374.6800,V_AUTORITATIVO
59,OXIDO ZINC,6.10,553.96,6.1000,553.9660,6.1000,553.9600,V_AUTORITATIVO
60,OXITETRACICLINA,0.01,84.55,0.0100,84.5500,0.0100,84.5500,N_4D_REDONDEA_V
61,ACEITE PALMA,18.51,85.57,18.5100,85.5700,18.5100,85.5700,N_4D_REDONDEA_V
63,PIGMENTANTE,0.28,1200.00,0.2800,1200.0000,0.2800,1200.0000,N_4D_REDONDEA_V
64,PLUS SINTOX,8.03,219.00,8.0400,219.0000,8.0300,219.0000,N_4D_REDONDEA_V
66,PREMEZCLA CERDO,4.56,469.00,4.5700,469.0000,4.5600,469.0000,N_4D_REDONDEA_V
67,PREMEZCLA CUY,1.55,420.71,1.5600,420.7100,1.5500,420.7100,N_4D_REDONDEA_V
68,PREMEZCLA POLLO,2.51,427.48,2.5400,427.4839,2.5100,427.4839,N_4D_REDONDEA_V
69,PREMIX 100,39.56,268.38,39.5600,268.4074,39.5600,268.3800,V_AUTORITATIVO
73,SULFATO COBRE,,,0.0000,0.0000,0.0000,0.0000,N_CERO
75,TREONINA,4.67,175.50,4.6800,175.5000,4.6700,175.5000,N_4D_REDONDEA_V
76,VITAMINA C,15.48,35.02,15.4800,35.0190,15.4800,35.0190,N_4D_REDONDEA_V
85,CRECIMIENTO POLLO BAJA,,,0.0000,60.1122,0.0000,60.1122,N_CERO
87,CUY ESPECIAL - URIAS,,,0.0000,60.5685,0.0000,60.5685,N_CERO
106,INICIO AVES,1.00,97.06,1.0000,96.9397,1.0000,97.0600,V_AUTORITATIVO
109,POSTURA - URIAS,,,0.0000,63.6282,0.0000,63.6282,N_CERO
112,MAIZ GRANO,3.30,72.44,3.3000,73.0000,3.3000,72.4400,V_AUTORITATIVO
113,VIUSID,23.04,202.81,23.0400,202.3450,23.0400,202.8100,V_AUTORITATIVO
117,MAIZ CHANCADO,135.42,73.39,135.4100,73.3470,135.4200,73.3900,V_AUTORITATIVO
118,BUTIREX,-0.10,753.50,-0.0500,753.3497,-0.1000,753.5000,V_AUTORITATIVO
123,POSTURA - CODORNIZ,,,0.0000,71.8900,0.0000,71.8900,N_CERO
129,ENZINAT PRO,-0.52,79.94,-0.5000,78.9400,-0.5200,79.9400,V_AUTORITATIVO
